,id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
12074,2229334,323444,1095,0.56,11.0,1.0,0.12,1.44,0.33,,2016.0
12075,2229390,323444,2026,0.001,,4.0,,,,,
12076,2229371,323444,1219,0.325,2.0,1.0,0.29,0.36,0.325,,2016.0
12077,2229296,323444,1404,0.042,11.0,1.0,0.03,0.049,0.043,,2016.0
12078,2229369,323444,1210,0.115,2.0,1.0,0.1,0.13,0.115,,2016.0
12079,2229302,323444,1228,0.0,2.0,1.0,0.0,0.0,0.0,,2016.0
12080,2229317,323444,1267,0.014,11.0,1.0,0.008,0.016,0.014,,2016.0
12081,2229335,323444,1103,5.5,7.0,1.0,0.0,7.9,6.0,,2016.0
12534,2229858,323604,1005,0.91,,49.0,,,,,
12535,2229859,323604,1008,150.0,,49.0,,,,,
12536,2229850,323604,1089,1.77,14.0,1.0,1.56,2.01,1.76,,2017.0
12537,2229865,323604,1113,0.6,14.0,1.0,0.4,0.8,0.6,,2017.0
12538,2229855,323604,1051,75.4,14.0,1.0,74.0,76.7,75.4,,2017.0
12539,2229849,323604,1093,121.0,14.0,1.0,100.0,137.0,121.0,,2017.0
12540,2229853,323604,1007,1.16,14.0,1.0,1.0,1.28,1.18,,2017.0
12541,2229863,323604,1110,91.0,,4.0,,,,,
12542,2229852,323604,1003,12.3,,49.0,11.8,12.6,12.3,,
12543,2229867,323604,1100,61.6,14.0,1.0,45.1,80.9,56.1,,2017.0
12544,2229848,323604,1095,1.2,14.0,1.0,1.06,1.32,1.21,,2017.0
12545,2229846,323604,1101,0.0,14.0,1.0,0.0,0.0,0.0,,2017.0
12546,2229847,323604,1092,117.0,14.0,1.0,109.0,125.0,117.0,,2017.0
12547,2229845,323604,1091,189.0,14.0,1.0,178.0,208.0,188.0,,2017.0
12548,2229844,323604,1090,11.2,14.0,1.0,10.1,12.4,11.2,,2017.0
12549,2229861,323604,1112,2.3,14.0,1.0,0.8,5.1,1.9,,2017.0
12550,2229866,323604,1002,1.97,14.0,1.0,1.89,2.02,1.98,,2017.0
12551,2229862,323604,1114,2.3,,4.0,,,,,
12552,2229856,323604,1087,55.0,14.0,1.0,47.0,62.0,56.0,,2017.0
12553,2229860,323604,1098,0.0,14.0,1.0,0.0,0.0,0.0,,2017.0
12554,2229864,323604,1253,420.0,14.0,1.0,385.0,463.0,416.0,,2017.0
12555,2229851,323604,1062,627.0,,49.0,,,,,
12556,2229854,323604,1111,0.0,14.0,1.0,0.0,0.0,0.0,,2017.0
12557,2229857,323604,1004,10.3,14.0,1.0,9.39,11.5,10.2,,2017.0
12558,13338536,323604,2047,146.0,,1.0,,,,,
12559,13338438,323604,2048,150.0,,49.0,,,,,
12807,2230115,323697,1092,130.0,16.0,1.0,77.0,176.0,134.0,,2017.0
12808,2230119,323697,1098,0.0,16.0,1.0,0.0,0.0,0.0,,2017.0
12809,2230120,323697,1090,10.6,16.0,1.0,9.0,12.0,10.5,,2017.0
